,s0_statusquo,s1_percapita,s2_epi,s3_socio,s4_capacity,s5_fullneed,s7_statutory
s0_statusquo,1.0,0.14285714285714285,0.0,0.0,0.17647058823529413,0.0,0.0
s1_percapita,0.14285714285714285,1.0,0.3793103448275862,0.17647058823529413,0.21212121212121213,0.2903225806451613,0.02564102564102564
s2_epi,0.0,0.3793103448275862,1.0,0.25,0.1111111111111111,0.7391304347826086,0.14285714285714285
s3_socio,0.0,0.17647058823529413,0.25,1.0,0.08108108108108109,0.2903225806451613,0.17647058823529413
s4_capacity,0.17647058823529413,0.21212121212121213,0.1111111111111111,0.08108108108108109,1.0,0.1111111111111111,0.05263157894736842
s5_fullneed,0.0,0.2903225806451613,0.7391304347826086,0.2903225806451613,0.1111111111111111,1.0,0.21212121212121213
s7_statutory,0.0,0.02564102564102564,0.14285714285714285,0.17647058823529413,0.05263157894736842,0.21212121212121213,1.0
