district_name,county_name,need_score,score_disease,score_socioeconomic,score_healthcare,lambda,jobseeker_rate,vacant_paed
Csurgói,Somogy,1.0,2.006951051543241,1.1448432850489823,3.268071295860942,12.867943337674658,0.08378955342078986,4.0
Ózdi,Borsod-Abaúj-Zemplén,0.9307357838291981,1.2132034268608696,2.7218707691933197,1.3419835025265279,38.00192950926064,0.13402793519208145,7.0
Barcsi,Somogy,0.9305339774559814,2.006951051543241,1.7437541130404506,1.2692667551297339,18.15548373611178,0.10286868243160797,3.0
Edelényi,Borsod-Abaúj-Zemplén,0.8417868487714039,1.2132034268608698,2.0472923622105554,1.087981067271962,24.358349558184813,0.11253831127277628,4.0
Tabi,Somogy,0.8320165620867751,2.006951051543241,0.6140189492977285,1.8058350119263564,9.788196956785063,0.0668794133623031,2.0
Szerencsi,Borsod-Abaúj-Zemplén,0.8169034810665413,1.2132034268608698,1.7431010649502483,1.1801487933166523,29.160121811192653,0.10284787868557282,5.0
Balmazújvárosi,Hajdú-Bihar,0.8167316377836498,2.1091678957594175,0.7274295330352039,1.246335230238302,27.68755235629025,0.07049226365184622,4.0
Encsi,Borsod-Abaúj-Zemplén,0.7997636612839146,1.2132034268608698,3.874914560296292,-0.9989816048302742,16.51086066596775,0.170759732677449,0.0
Marcali,Somogy,0.7918043625537501,2.0069510515432407,0.7849271704554017,0.9964458481497116,27.517008880956592,0.07232393005506714,4.0
Cigándi,Borsod-Abaúj-Zemplén,0.7705589461856596,1.2132034268608698,3.4905436494151445,-0.9989816048302742,11.624177524836503,0.1585150681064295,0.0
