,s0_statusquo,s1_percapita,s2_epi,s3_socio,s4_capacity,s5_fullneed,s7_statutory
s0_statusquo,1.0,0.1327756601783106,0.05363276088221111,-0.038599677897697866,0.018386825490378796,0.03407076955419748,-0.10169260734099228
s1_percapita,0.1327756601783106,1.0,0.530610675280726,0.22999601317222781,0.6446684811441882,0.4479970114487881,-0.26915955848204814
s2_epi,0.05363276088221111,0.530610675280726,1.0,0.5691636137611482,0.37842058835532366,0.9921566226859918,0.11380169611882515
s3_socio,-0.038599677897697866,0.22999601317222781,0.5691636137611482,1.0,0.1513785948158682,0.6055253665841048,0.4280525237161882
s4_capacity,0.018386825490378796,0.6446684811441882,0.37842058835532366,0.1513785948158682,1.0,0.35014236428304596,-0.16336221019888406
s5_fullneed,0.03407076955419748,0.4479970114487881,0.9921566226859918,0.6055253665841048,0.35014236428304596,1.0,0.16296914688827732
s7_statutory,-0.10169260734099228,-0.26915955848204814,0.11380169611882515,0.4280525237161882,-0.16336221019888406,0.16296914688827732,1.0
