,eta=0.1,eta=0.25,eta=0.5,eta=0.75,eta=1,eta=1.5
UR=3,0.3180742958896359,0.3283148193737014,0.3430228096723248,0.356075969206023,0.36761724453261535,0.38636155034786684
UR=5,0.3180742958896359,0.3283148193737014,0.34302280967232485,0.356075969206023,0.36761724453261535,0.3863615503478668
UR=8,0.3180742958896359,0.3283148193737013,0.34302280967232485,0.35607596920602297,0.36761724453261535,0.38636155034786684
UR=12,0.3180742958896359,0.3283148193737014,0.3430228096723248,0.356075969206023,0.36761724453261535,0.38636155034786684
UR=15,0.3180742958896359,0.3283148193737014,0.34302280967232485,0.356075969206023,0.36761724453261535,0.38636155034786684
