district_id,district_name,county_id,county_name,nuts3_code,is_budapest_district,pop,jobseekers,jobseeker_rate,county_cases,pop_share,lambda,lambda_lo,lambda_hi,county_child_pop,pop_child,pop_u5,burden_rate,burden_rate_u5,komplex_mutato,kedvezmenyezett_290,komplex_program_290,deprivation_290,evidence_class,confidence,vacant_paed,vacant_any,vacant_paed_practice_rate
001,Budapest 01. ker.,01,főváros,,True,15163.0,225.66666666666666,0.0148827188990745,274,0.013703842281545588,3.754852785143491,1.8774263925717456,5.632279177715237,210663,2886.8925265572384,981.5434590294611,130.06555493845622,3.8254574981898877,7997,0,0,-2.116832060940295,estimated,low,1.0,1.0,6.595000989250148
002,Budapest 02. ker.,01,főváros,,True,50114.0,633.1666666666666,0.012634526612656476,274,0.045291456314540374,12.409859030184062,6.204929515092031,18.61478854527609,210663,9541.23406159002,3244.019580940607,130.0655549384562,3.8254574981898877,8396,0,0,-2.3705169021272168,estimated,low,0.0,0.0,0.0
003,Budapest 03. ker.,01,főváros,,True,79374.0,1471.75,0.018541965883034747,274,0.07173572362035215,19.655588271976487,9.827794135988244,29.483382407964733,210663,15112.062745034244,5138.101333311643,130.06555493845622,3.825457498189888,7582,0,0,-1.8529743940416172,estimated,low,4.0,4.0,5.039433567666994
004,Budapest 04. ker.,01,főváros,,True,62897.0,1368.0833333333333,0.0217511699021151,274,0.056844329485086914,15.575346278913814,7.787673139456907,23.363019418370722,210663,11974.996982316865,4071.498973987734,130.06555493845622,3.825457498189888,7357,0,0,-1.7099190324700448,estimated,low,5.0,5.0,7.949504745854333
005,Budapest 05. ker.,01,főváros,,True,16446.0,213.33333333333334,0.012971745915926872,274,0.0148633773107102,4.072565383134594,2.036282691567297,6.108848074701891,210663,3131.1636544061425,1064.5956424980886,130.06555493845622,3.8254574981898877,8098,0,0,-2.1810480232457565,estimated,low,1.0,1.0,6.080505898090721
006,Budapest 06. ker.,01,főváros,,True,25878.0,497.3333333333333,0.019218383697864338,274,0.02338772212371145,6.408235861896937,3.2041179309484686,9.612353792845406,210663,4926.9277057474255,1675.155419954125,130.0655549384562,3.8254574981898877,7831,0,0,-2.011288994180824,estimated,low,4.0,4.0,15.457145065306436
007,Budapest 07. ker.,01,főváros,,True,37118.0,583.0833333333334,0.01570891032203603,274,0.03354608044624475,9.19162604227106,4.59581302113553,13.787439063406591,210663,7066.9179450472575,2402.7521013160676,130.06555493845622,3.825457498189888,7350,0,0,-1.7054684212211515,estimated,low,4.0,4.0,10.776442696265962
008,Budapest 08. ker.,01,főváros,,True,52794.0,1273.75,0.02412679471152025,274,0.047713555985749376,13.073514340095329,6.5367571700476645,19.610271510142994,210663,10051.480844625921,3417.5034871728135,130.06555493845622,3.825457498189888,6934,0,0,-1.440974952715489,estimated,low,7.0,7.0,13.259082471492974
009,Budapest 09. ker.,01,főváros,,True,42777.0,1040.8333333333333,0.024331611224100175,274,0.0386605065803387,10.592978803012803,5.296489401506402,15.889468204519204,210663,8144.3382977338915,2769.0750212295234,130.06555493845622,3.8254574981898877,7400,0,0,-1.7372585015703899,estimated,low,4.0,4.0,9.350819365546906
010,Budapest 10. ker.,01,főváros,,True,51097.0,1087.0833333333333,0.021274895460268377,274,0.046179860783495015,12.653281854677633,6.326640927338817,18.979922782016452,210663,9728.38801223341,3307.6519241593596,130.06555493845622,3.825457498189888,7159,0,0,-1.584030314287061,estimated,low,9.0,9.0,17.613558525940856
011,Budapest 11. ker.,01,főváros,,True,94362.0,1355.8333333333333,0.014368425142889439,274,0.08528140640844192,23.367105355913086,11.683552677956543,35.05065803386963,210663,17965.6369182216,6108.316552195344,130.06555493845622,3.825457498189888,8045,0,0,-2.147350538075564,estimated,low,5.0,5.0,5.298743138127636
012,Budapest 12. ker.,01,főváros,,True,32627.0,417.8333333333333,0.012806366914927309,274,0.029487255959901596,8.079508133013038,4.039754066506519,12.119262199519557,210663,6211.87380228075,2112.037092775455,130.06555493845622,3.825457498189888,8258,0,0,-2.282776280363319,estimated,low,1.0,1.0,3.064946210194011
013,Budapest 13. ker.,01,főváros,,True,80856.0,1815.6666666666667,0.022455558853599816,274,0.07307510858778936,20.022579753054284,10.011289876527142,30.033869629581424,210663,15394.22160042947,5234.03534414602,130.06555493845622,3.825457498189888,7648,0,0,-1.8949373001026117,estimated,low,6.0,6.0,7.420599584446424
014,Budapest 14. ker.,01,főváros,,True,77374.0,1504.3333333333333,0.019442362206081285,274,0.06992818655228572,19.16032311532629,9.580161557663144,28.74048467298943,210663,14731.281563664166,5008.635731645817,130.06555493845624,3.8254574981898886,7620,0,0,-1.8771348551070384,estimated,low,14.0,14.0,18.093933362628274
015,Budapest 15. ker.,01,főváros,,True,49921.0,1018.5833333333334,0.020403904836308034,274,0.04511702898747196,12.362065942567318,6.181032971283659,18.543098913850976,210663,9504.488677587806,3231.5261503798542,130.06555493845622,3.825457498189888,6991,0,0,-1.4772156443136204,estimated,low,3.0,3.0,6.009495002103323
016,Budapest 16. ker.,01,főváros,,True,45139.0,639.3333333333334,0.014163657443304755,274,0.04079520785772514,11.177886953016689,5.588943476508344,16.766830429525033,210663,8594.040872931952,2921.9738967968638,130.06555493845622,3.825457498189888,7832,0,0,-2.0119247957878086,estimated,low,2.0,2.0,4.4307583242872015
