scenario,label,ci_need,ci_lo,ci_hi,kakwani,kak_lo,kak_hi
s1_percapita,1 · Egyenlő fejkvóta,-0.1721455575989344,-0.22454967078202492,-0.11005880642391011,-0.5362349036847407,-0.5963756553136419,-0.4585441109042954
s2_epi,2 · Epidemiológiai,0.1910964351322038,0.12115919925301168,0.25318447112167625,-0.17299291095360247,-0.24336301129867133,-0.10227009631142119
s5_fullneed,5 · Teljes szükségletalapú,0.23820016847323888,0.171888676453082,0.2956702725814582,-0.1258891776125674,-0.1922309733692936,-0.06166325151177977
s7_statutory,7 · Jogszabályi küszöb,0.2733403920035891,0.1868252899557363,0.3609632455667107,-0.09074895408221717,-0.16876348797250387,-0.008451687160084037
