eta,worst_q_share,ci_need
0.1,0.232233723010105,0.2020285175733871
0.25,0.24086346537204528,0.21687576032795838
0.5,0.25325796523687527,0.23820016847323888
0.75,0.26368092601567505,0.2561325959332661
1.0,0.27256809749597877,0.2714227386554302
