scenario,label,gini_aid,ci_need,ci_socio,kakwani_need,theil_between,theil_within,theil_between_share,worst_quintile_share
s0_statusquo,0 · Status quo,0.9903302324788399,-0.7247111820138584,-0.6995814460579464,-1.0888005280996647,0.0,0.004524630620293089,0.0,0.0
s1_percapita,1 · Egyenlő fejkvóta,0.40701630013610507,-0.1721455575989344,-0.22088506973887245,-0.5362349036847407,0.04707896734333473,0.23292504363515898,0.1681367605371579,0.10515976667541353
s2_epi,2 · Epidemiológiai,0.4820794260962433,0.1910964351322038,0.02319466288252069,-0.17299291095360247,0.18351792636956965,0.280195687050223,0.39575703852246796,0.22587961022927533
s3_socio,3 · Szocioökonómiai,0.41551927605362765,0.23056693854956808,0.26233189691092407,-0.1335224075362382,0.14556924689003164,0.1481091304235109,0.4956757396361402,0.2959697360459582
s4_capacity,4 · Kapacitásalapú,0.5502036157632617,0.009580134784675592,-0.15364941209856178,-0.35450921130113067,0.12599410026628594,0.41852980810849827,0.23138396373142694,0.19177710981920124
s5_fullneed,5 · Teljes szükségletalapú,0.4980002281089923,0.23820016847323888,0.06435718685028008,-0.1258891776125674,0.22414264051917887,0.2665422740710691,0.456795458459023,0.25325796523687527
s6_costgap,6 · Költségrés,0.48260806217777197,0.19295841123247306,0.02466417658332028,-0.17113093485333322,0.18465693109494427,0.28036180239245984,0.39709568195266287,0.22633885781349578
s7_statutory,7 · Jogszabályi küszöb,0.6009177400220634,0.2733403920035891,0.3235915261704088,-0.09074895408221717,0.02949567825205237,0.09923397351807868,0.2291288591747454,0.31955533511538725
