district_id,s0_statusquo,s1_percapita,s2_epi,s3_socio,s4_capacity,s5_fullneed,s6_costgap,s7_statutory,district_name,county_id,county_name,nuts3_code,need_score,need_rank,score_socioeconomic,pop,lambda
001,0.0,6083884.827080931,2776436.5462462963,1238084.4966306721,4562147.488489712,2426980.2138849376,600475.1186869509,0.0,Budapest 01. ker.,01,főváros,,0.11350382308417899,170,-1.0182035340312572,15163.0,3.754852785143491
002,496394.3612073625,20107353.70469787,9176174.970559053,2425137.8334742174,218177.52418760152,7798138.137161908,1488187.192434915,0.0,Budapest 02. ker.,01,főváros,,0.05472541328992005,189,-1.0887762893692596,50114.0,12.409859030184062
003,0.0,31847409.76486987,14533857.048193203,10777860.573190022,18330098.506615598,12719340.605352346,3143316.762557412,0.0,Budapest 03. ker.,01,főváros,,0.11596396520647856,168,-0.9033365167923534,79374.0,19.655588271976487
004,0.0,25236305.74219543,11516819.194701135,11526632.544544436,22754497.324767765,10237672.703244668,2490805.4830873273,0.0,Budapest 04. ker.,01,főváros,,0.14928123385063663,154,-0.8025967484742531,62897.0,15.575346278913814
005,0.0,6598665.822473982,3011361.5669436515,877906.7258870439,4567733.188364651,2618556.545295662,651283.6379295385,0.0,Budapest 05. ker.,01,főváros,,0.10243998529918952,174,-1.078190675527985,16446.0,4.072565383134594
006,0.0,10383088.541528743,4738417.525803709,3772819.8022811995,18097197.025314163,4290906.623927343,1024803.4769755928,0.0,Budapest 06. ker.,01,főváros,,0.1894765204206601,141,-0.8821031600013769,25878.0,6.408235861896937
007,0.0,14892939.19485524,6796529.164648817,3484421.784760984,18146131.76155291,6031581.011493286,1469922.5387734775,0.0,Budapest 07. ker.,01,főváros,,0.1456976960046495,157,-0.9922686504773606,37118.0,9.19162604227106
008,0.0,21182656.173640486,9666899.09797052,11530553.386071501,31702779.62813542,8774314.354398485,2090713.14488946,0.0,Budapest 08. ker.,01,főváros,,0.19457566223943998,138,-0.7280237729054432,52794.0,13.073514340095329
009,0.0,17163512.57983519,7832726.118761316,9472390.116029399,18170768.92101689,7026246.521423176,1694026.5219331067,0.0,Budapest 09. ker.,01,főváros,,0.1688773659415699,149,-0.7215944004185747,42777.0,10.592978803012803
010,0.0,20501765.020731673,9356168.185949152,9004116.144295953,40687658.49670083,8554370.550869437,2023509.6708795833,0.0,Budapest 10. ker.,01,főváros,,0.21062253593176508,131,-0.8175474267864473,51097.0,12.653281854677633
011,0.0,37861078.9456579,17278250.0413436,6986877.265969782,22891484.11086672,15022016.812450748,3736861.6467412817,0.0,Budapest 11. ker.,01,főváros,,0.10209840906828309,176,-1.0343476724336438,94362.0,23.367105355913086
012,0.0,13091005.094847295,5974200.039199229,1661842.8559636446,4638179.181877035,5137993.0484492285,1292072.9207544117,0.0,Budapest 12. ker.,01,főváros,,0.0794012772266034,182,-1.0833820694519367,32627.0,8.079508133013038
013,600677.3925916285,32442035.980904553,14805220.166411037,15660401.571573677,27328817.546578083,13153665.470837306,2601328.555871874,0.0,Budapest 13. ker.,01,főváros,,0.14810980192897027,155,-0.780485352827075,80856.0,20.022579753054284
