district_id,district_name_290,varmegye,regio,pop2013,komplex_mutato,rank,kedvezmenyezett,fejlesztendo,komplex_program
124,Ceglédi,PST,KM,88626,4468,99,1,0,0
097,Hajdúböszörményi,HBH,ÉA,40129,4472,100,1,0,0
035,Bajai,BKK,DA,66143,4489,101,1,0,0
143,Kaposvári,SOM,DD,116547,4491,102,1,0,0
187,Pápai,VES,KD,58404,4559,103,1,0,0
142,Fonyódi,SOM,DD,34222,4576,104,1,0,0
137,Szobi,PST,KM,24411,4597,105,1,0,0
162,Jászberényi,JNS,ÉA,50624,4604,106,1,0,0
100,Hajdúszoboszlói,HBH,ÉA,42983,4627,107,1,0,0
092,Téti,GMS,NYD,14445,4648,108,1,0,0
071,Hódmezővásárhelyi,CSN,DA,55515,4663,109,1,0,0
175,Tolnai,TOL,DD,18100,4696,110,0,0,0
026,Komlói,BAR,DD,34776,4716,111,0,0,0
177,Körmendi,VAS,NYD,26692,4754,112,0,0,0
179,Sárvári,VAS,NYD,38653,4793,113,0,0,0
125,Dabasi,PST,KM,48808,4816,114,0,0,0
090,Pannonhalmi,GMS,NYD,15555,4822,115,0,0,0
077,Bicskei,FEJ,KD,35634,4861,116,0,0,0
122,Aszódi,PST,KM,36820,4871,117,0,0,0
134,Ráckevei,PST,KM,35971,4974,118,0,0,0
081,Martonvásári,FEJ,KD,26405,4980,119,0,0,0
107,Hatvani,HEV,ÉM,50426,4995,120,0,0,0
170,Bonyhádi,TOL,DD,31322,4996,121,0,0,0
180,Szentgotthárdi,VAS,NYD,15227,5014,122,0,0,0
086,Csornai,GMS,NYD,32673,5033,123,0,0,0
196,Nagykanizsai,ZAL,NYD,77394,5086,124,0,0,0
106,Gyöngyösi,HEV,ÉM,72700,5104,125,0,0,0
192,Zirci,VES,KD,19324,5135,126,0,0,0
088,Kapuvári,GMS,NYD,24473,5138,127,0,0,0
172,Paksi,TOL,DD,49319,5166,128,0,0,0
068,Tiszaújvárosi,BAZ,ÉM,31426,5191,129,0,0,0
061,Miskolci,BAZ,ÉM,242796,5214,130,0,0,0
189,Tapolcai,VES,KD,34423,5220,131,0,0,0
048,Gyulai,BEK,DA,41118,5221,132,0,0,0
190,Várpalotai,VES,KD,37067,5249,133,0,0,0
038,Kecskeméti,BKK,DA,156475,5262,134,0,0,0
130,Monori,PST,KM,66538,5281,135,0,0,0
078,Dunaújvárosi,FEJ,KD,91097,5330,136,0,0,0
110,Esztergomi,KOE,KD,92341,5380,137,0,0,0
173,Szekszárdi,TOL,DD,58958,5440,138,0,0,0
046,Békéscsabai,BEK,DA,81694,5489,139,0,0,0
167,Szolnoki,JNS,ÉA,117837,5544,140,0,0,0
178,Kőszegi,VAS,NYD,25578,5564,141,0,0,0
193,Keszthelyi,ZAL,NYD,49280,5565,142,0,0,0
112,Komáromi,KOE,KD,39236,5592,143,0,0,0
197,Zalaegerszegi,ZAL,NYD,101765,5595,144,0,0,0
138,Váci,PST,KM,67436,5600,145,0,0,0
157,Nyíregyházi,SSB,ÉA,166154,5611,146,0,0,0
183,Ajkai,VES,KD,38784,5611,147,0,0,0
082,Móri,FEJ,KD,34299,5612,148,0,0,0
113,Oroszlányi,KOE,KD,25750,5662,149,0,0,0
146,Siófoki,SOM,DD,51544,5719,150,0,0,0
104,Egri,HEV,ÉM,85679,5764,151,0,0,0
129,Gyáli,PST,KM,40564,5791,152,0,0,0
184,Balatonalmádi,VES,KD,24485,5928,153,0,0,0
115,Tatabányai,KOE,KD,84691,5955,154,0,0,0
114,Tatai,KOE,KD,38626,5957,155,0,0,0
028,Pécsi,BAR,DD,178968,6051,156,0,0,0
080,Gárdonyi,FEJ,KD,29978,6070,157,0,0,0
089,Mosonmagyaróvári,GMS,NYD,72863,6083,158,0,0,0
095,Debreceni,HBH,ÉA,216773,6096,159,0,0,0
085,Székesfehérvári,FEJ,KD,153236,6112,160,0,0,0
181,Szombathelyi,VAS,NYD,110392,6269,161,0,0,0
185,Balatonfüredi,VES,KD,24335,6277,162,0,0,0
075,Szegedi,CSN,DA,197808,6383,163,0,0,0
023,"Budapest, XXIII. ker.",BP,KM,22257,6397,164,0,0,0
128,Gödöllői,PST,KM,140643,6478,165,0,0,0
091,Soproni,GMS,NYD,99397,6547,166,0,0,0
191,Veszprémi,VES,KD,82186,6550,167,0,0,0
139,Vecsési,PST,KM,47398,6602,168,0,0,0
087,Győri,GMS,NYD,190912,6669,169,0,0,0
136,Szigetszentmiklósi,PST,KM,110751,6671,170,0,0,0
133,Pilisvörösvári,PST,KM,52832,6702,171,0,0,0
127,Érdi,PST,KM,117564,6764,172,0,0,0
021,"Budapest, XXI. ker.",BP,KM,76503,6865,173,0,0,0
135,Szentendrei,PST,KM,77918,6882,174,0,0,0
008,"Budapest, VIII. ker.",BP,KM,75294,6934,175,0,0,0
020,"Budapest, XX. ker.",BP,KM,65569,6938,176,0,0,0
015,"Budapest, XV. ker.",BP,KM,80287,6991,177,0,0,0
017,"Budapest, XVII. ker.",BP,KM,87356,7062,178,0,0,0
010,"Budapest, X. ker.",BP,KM,78986,7159,179,0,0,0
019,"Budapest, XIX. ker.",BP,KM,60738,7277,180,0,0,0
007,"Budapest, VII. ker.",BP,KM,55121,7350,181,0,0,0
004,"Budapest, IV. ker.",BP,KM,100282,7357,182,0,0,0
009,"Budapest, IX. ker.",BP,KM,59019,7400,183,0,0,0
022,"Budapest, XXII. ker.",BP,KM,54348,7405,184,0,0,0
126,Dunakeszi,PST,KM,79728,7431,185,0,0,0
018,"Budapest, XVIII. ker.",BP,KM,101317,7520,186,0,0,0
003,"Budapest, III. ker.",BP,KM,127602,7582,187,0,0,0
014,"Budapest, XIV. ker.",BP,KM,124300,7620,188,0,0,0
013,"Budapest, XIII. ker.",BP,KM,119352,7648,189,0,0,0
123,Budakeszi,PST,KM,85333,7715,190,0,0,0
006,"Budapest, VI. ker.",BP,KM,38286,7831,191,0,0,0
016,"Budapest, XVI. ker.",BP,KM,72639,7832,192,0,0,0
001,"Budapest, I. ker.",BP,KM,24679,7997,193,0,0,0
011,"Budapest, XI. ker.",BP,KM,147275,8045,194,0,0,0
005,"Budapest, V. ker.",BP,KM,26048,8098,195,0,0,0
012,"Budapest, XII. ker.",BP,KM,58068,8258,196,0,0,0
002,"Budapest, II. ker.",BP,KM,89339,8396,197,0,0,0
